,sell_type,car_type,year,traction,price,km,range,max_vel,zero_hundred
128,Nuevo,Model Y,Model Y,Gran autonomía con tracción integral,48.780 €,Cuentakilómetros con 840 km,533,217,5
129,Nuevo,Model Y,Model Y,Gran autonomía con tracción integral,49.140 €,Cuentakilómetros con 2035 km,533,217,5
130,Nuevo,Model Y,Model Y,Model Y Gran autonomía con tracción trasera,49.160 €,,600,217,"5,9"
131,Nuevo,Model Y,Model Y,Gran autonomía con tracción integral,49.230 €,Cuentakilómetros con 28 km,533,217,5
132,Nuevo,Model Y,Model Y,Gran autonomía con tracción integral,49.240 €,Cuentakilómetros con 3438 km,533,217,5
133,Nuevo,Model Y,Model Y,Model Y Gran autonomía con tracción trasera,49.310 €,Cuentakilómetros con 3016 km,565,217,"5,9"
134,Nuevo,Model Y,Model Y,Gran autonomía con tracción integral,49.400 €,Cuentakilómetros con 4569 km,533,217,5
135,Ocasion,Model S,2018,75D,27.000 €,Cuentakilómetros con 140.097 km,490,225,"4,4"
136,Ocasion,Model S,2018,75D,28.700 €,Cuentakilómetros con 127.773 km,490,225,"4,4"
137,Ocasion,Model S,2018,75D,29.100 €,Cuentakilómetros con 117.455 km,490,225,"4,4"
138,Ocasion,Model S,2018,75D,29.500 €,Cuentakilómetros con 115.551 km,490,225,"4,4"
139,Ocasion,Model S,2018,75D,33.500 €,Cuentakilómetros con 70.614 km,490,225,"4,4"
140,Ocasion,Model S,2018,75D,34.200 €,Cuentakilómetros con 68.301 km,490,225,"4,4"
141,Ocasion,Model S,2020,Model S Gran autonomía,50.500 €,Cuentakilómetros con 61.149 km,610,250,"3,8"
142,Ocasion,Model S,2023,"Model S, tracción a las cuatro ruedas",79.500 €,Cuentakilómetros con 13.178 km,634,250,"3,2"
143,Ocasion,Model S,2023,"Model S, tracción a las cuatro ruedas",80.600 €,Cuentakilómetros con 12.409 km,634,250,"3,2"
144,Ocasion,Model S,2023,Plaid,81.700 €,Cuentakilómetros con 36.084 km,600,322,"2,1"
145,Ocasion,Model S,2023,"Model S, tracción a las cuatro ruedas",83.500 €,Cuentakilómetros con 8276 km,634,250,"3,2"
146,Ocasion,Model S,2023,"Model S, tracción a las cuatro ruedas",84.400 €,Cuentakilómetros con 6301 km,634,250,"3,2"
147,Ocasion,Model S,2023,"Model S, tracción a las cuatro ruedas",86.500 €,Cuentakilómetros con 3269 km,634,250,"3,2"
148,Ocasion,Model S,2023,Plaid,87.100 €,Cuentakilómetros con 9716 km,600,322,"2,1"
149,Ocasion,Model S,2023,Plaid,87.400 €,Cuentakilómetros con 15.040 km,600,322,"2,1"
150,Ocasion,Model 3,2021,Gran autonomía con tracción integral,31.300 €,Cuentakilómetros con 78.268 km,580,233,"4,4"
151,Ocasion,Model 3,2019,Gran autonomía con tracción integral,31.400 €,Cuentakilómetros con 60.047 km,560,233,"4,6"
152,Ocasion,Model 3,2022,Model 3 Tracción trasera,31.600 €,Cuentakilómetros con 15.291 km,491,225,"6,1"
153,Ocasion,Model 3,2019,Performance con tracción a las cuatro ruedas de gran autonomía,31.600 €,Cuentakilómetros con 33.742 km,530,261,"3,4"
154,Ocasion,Model 3,2021,Gran autonomía con tracción integral,33.200 €,Cuentakilómetros con 79.681 km,580,233,"4,4"
155,Ocasion,Model 3,2021,Gran autonomía con tracción integral,34.100 €,Cuentakilómetros con 57.523 km,580,233,"4,4"
156,Ocasion,Model 3,2021,Gran autonomía con tracción integral,34.900 €,Cuentakilómetros con 76.956 km,614,233,"4,4"
157,Ocasion,Model 3,2021,Performance con tracción a las cuatro ruedas de gran autonomía,35.300 €,Cuentakilómetros con 53.081 km,567,261,"3,3"
158,Ocasion,Model 3,2024,Model 3 Tracción trasera,35.500 €,Cuentakilómetros con 12.124 km,513,201,"6,1"
159,Ocasion,Model 3,2021,Gran autonomía con tracción integral,35.900 €,Cuentakilómetros con 63.769 km,580,233,"4,4"
160,Ocasion,Model 3,2022,Gran autonomía con tracción integral,37.100 €,Cuentakilómetros con 30.168 km,602,233,"4,4"
161,Ocasion,Model 3,2024,Model 3 Tracción trasera,37.500 €,Cuentakilómetros con 15 km,513,201,"6,1"
162,Ocasion,Model 3,2024,Model 3 Tracción trasera,38.200 €,Cuentakilómetros con 15 km,513,201,"6,1"
163,Ocasion,Model 3,2020,Performance con tracción a las cuatro ruedas de gran autonomía,39.600 €,Cuentakilómetros con 40.205 km,530,261,"3,4"
164,Ocasion,Model 3,2024,Model 3 Tracción trasera,39.600 €,Cuentakilómetros con 1539 km,513,201,"6,1"
165,Ocasion,Model 3,2024,Model 3 Tracción trasera,40.200 €,Cuentakilómetros con 691 km,513,201,"6,1"
166,Ocasion,Model 3,2024,Model 3 Tracción trasera,40.500 €,Cuentakilómetros con 335 km,513,201,"6,1"
167,Ocasion,Model 3,2024,Model 3 Tracción trasera,41.800 €,Cuentakilómetros con 1817 km,513,201,"6,1"
168,Ocasion,Model 3,2024,Model 3 Tracción trasera,42.300 €,Cuentakilómetros con 1805 km,513,201,"6,1"
169,Ocasion,Model 3,2024,Model 3 Tracción trasera,42.500 €,Cuentakilómetros con 353 km,513,201,"6,1"
170,Ocasion,Model 3,2024,Model 3 Tracción trasera,44.000 €,Cuentakilómetros con 676 km,513,201,"6,1"
171,Ocasion,Model 3,2023,Performance con tracción a las cuatro ruedas,47.600 €,Cuentakilómetros con 30.570 km,547,261,"3,3"
172,Ocasion,Model 3,2023,Performance con tracción a las cuatro ruedas,47.700 €,Cuentakilómetros con 29.445 km,547,261,"3,3"
173,Ocasion,Model X,2018,100D Gran autonomía,52.000 €,Cuentakilómetros con 108.042 km,565,249,"4,9"
174,Ocasion,Model X,2023,"Model X, tracción a las cuatro ruedas",83.000 €,Cuentakilómetros con 9103 km,576,250,"3,9"
175,Ocasion,Model X,2023,Plaid,83.500 €,Cuentakilómetros con 15.035 km,543,262,"2,6"
176,Ocasion,Model X,2023,"Model X, tracción a las cuatro ruedas",84.000 €,Cuentakilómetros con 20.756 km,576,250,"3,9"
177,Ocasion,Model X,2023,"Model X, tracción a las cuatro ruedas",84.500 €,Cuentakilómetros con 11.765 km,576,250,"3,9"
178,Ocasion,Model X,2023,Plaid,85.500 €,Cuentakilómetros con 27.271 km,543,262,"2,6"
179,Ocasion,Model X,2023,Plaid,86.500 €,Cuentakilómetros con 21.471 km,543,262,"2,6"
180,Ocasion,Model X,2023,Plaid,87.600 €,Cuentakilómetros con 20.074 km,543,262,"2,6"
181,Ocasion,Model Y,2023,Performance con tracción a las cuatro ruedas,46.800 €,Cuentakilómetros con 48.582 km,514,250,"3,7"
