,sell_type,car_type,year,price,km
554,Nuevo,Model Y,2024,63050.0,86.0
555,Nuevo,Model Y,2024,44940.0,0.0
556,Nuevo,Model Y,2024,50590.0,0.0
557,Nuevo,Model Y,2024,51940.0,0.0
558,Nuevo,Model Y,2024,52690.0,0.0
559,Nuevo,Model Y,2024,54620.0,0.0
560,Nuevo,Model Y,2024,55230.0,0.0
561,Nuevo,Model Y,2024,56590.0,0.0
562,Nuevo,Model Y,2024,56590.0,0.0
563,Nuevo,Model Y,2024,56690.0,0.0
564,Nuevo,Model Y,2024,57780.0,0.0
565,Nuevo,Model Y,2024,57940.0,0.0
566,Ocasion,Model S,2019,43400.0,96.0
567,Ocasion,Model S,2018,37000.0,92.0
568,Ocasion,Model S,2018,37500.0,91.0
569,Ocasion,Model S,2018,38000.0,84.0
570,Ocasion,Model S,2019,41400.0,102.0
571,Ocasion,Model S,2019,44500.0,99.0
572,Ocasion,Model S,2023,88500.0,27.0
573,Ocasion,Model S,2020,51500.0,96.0
574,Ocasion,Model S,2020,53550.0,58.0
575,Ocasion,Model S,2023,96400.0,50.0
576,Ocasion,Model S,2018,28600.0,127.0
577,Ocasion,Model S,2019,45900.0,56.0
578,Ocasion,Model S,2019,46700.0,90.0
579,Ocasion,Model 3,2019,26900.0,136.0
580,Ocasion,Model 3,2020,28400.0,94.0
581,Ocasion,Model 3,2020,28800.0,68.0
582,Ocasion,Model 3,2021,29500.0,112.0
583,Ocasion,Model 3,2021,30100.0,57.0
584,Ocasion,Model 3,2021,30700.0,46.0
585,Ocasion,Model 3,2020,30800.0,52.0
586,Ocasion,Model 3,2020,30800.0,53.0
587,Ocasion,Model 3,2019,30900.0,63.0
588,Ocasion,Model 3,2020,31200.0,49.0
589,Ocasion,Model 3,2021,31400.0,79.0
590,Ocasion,Model 3,2020,31700.0,65.0
591,Ocasion,Model 3,2020,31900.0,55.0
592,Ocasion,Model 3,2020,31900.0,61.0
593,Ocasion,Model 3,2021,31900.0,76.0
594,Ocasion,Model 3,2021,32400.0,37.0
595,Ocasion,Model 3,2020,32500.0,44.0
596,Ocasion,Model 3,2021,33500.0,24.0
597,Ocasion,Model 3,2020,34600.0,40.0
