,car_type,year,price,km
286,TESLA - MODEL 3,2022,27.950 €,53.000 kms
287,TESLA - MODEL 3,2022,27.950 €,53.000 kms
288,TESLA - MODEL Y,2024,46.990 €,7.925 kms
289,TESLA - MODEL 3,2020,24.860 €,28.650 kms
290,TESLA MODEL 3,2019,20.000 €,120.000 kms
291,TESLA - MODEL 3,2021,32.980 €,63.776 kms
292,TESLA - MODEL S P100D 4WD,2017,45.000 €,49.000 kms
293,TESLA - MODEL X 75D 4WD,2017,49.990 €,70.000 kms
294,TESLA MODEL 3,2020,28.990 €,80.000 kms
295,TESLA - MODEL 3,2019,29.990 €,58.488 kms
296,TESLA - MODEL S PLAID AWD,2023,84.900 €,13.000 kms
297,TESLA - MODEL X 75D 4WD,2018,38.995 €,30.000 kms
298,TESLA - MODEL 3,2024,35.770 €,0 kms
299,TESLA - MODEL 3,2021,26.900 €,45.000 kms
300,TESLA - MODEL 3,2020,23.950 €,143.884 kms
301,TESLA - MODEL 3,2020,27.990 €,78.436 kms
302,TESLA - MODEL X 100D 4WD,2017,31.990 €,240.000 kms
303,TESLA - MODEL 3,2022,29.990 €,60.000 kms
304,TESLA - MODEL X 90D 4WD,2017,33.990 €,99.000 kms
305,TESLA - MODEL X 75D 4WD,2019,37.999 €,93.000 kms
306,TESLA - MODEL 3,2019,25.990 €,147.000 kms
307,TESLA - MODEL 3,2021,25.850 €,93.000 kms
308,TESLA - MODEL 3,2021,25.850 €,93.000 kms
309,TESLA - MODEL 3,2019,28.990 €,39.413 kms
310,TESLA - MODEL 3,2019,24.900 €,88.000 kms
311,TESLA - MODEL X LUDICROUS PERFORMANCE 4WD,2019,57.900 €,54.500 kms
312,TESLA - MODEL 3,2021,34.500 €,44.974 kms
313,TESLA MODEL 3,2021,25.000 €,92.000 kms
314,TESLA - MODEL 3,2021,34.500 €,44.974 kms
315,TESLA - MODEL X 75D 4WD,2018,35.600 €,72.365 kms
316,TESLA - MODEL S,2020,39.000 €,127.000 kms
317,TESLA - MODEL 3,2021,39.900 €,59.000 kms
318,TESLA - MODEL 3,2021,39.900 €,65.000 kms
319,TESLA - MODEL 3,2021,26.900 €,88.000 kms
320,TESLA - MODEL 3,2020,29.900 €,116.000 kms
321,TESLA - MODEL 3,2020,31.800 €,124.645 kms
322,TESLA - MODEL 3,2022,37.500 €,49.900 kms
323,TESLA - MODEL 3,2020,31.800 €,124.645 kms
324,TESLA - MODEL 3,2022,27.950 €,57.000 kms
325,TESLA - MODEL 3,2022,27.950 €,57.000 kms
326,TESLA - MODEL 3,2020,31.800 €,124.645 kms
327,TESLA - MODEL S AUTONOMIA ESTANDAR 4WD,2020,33.900 €,142.000 kms
328,TESLA - MODEL 3,2022,27.850 €,65.000 kms
329,TESLA - MODEL 3,2022,27.850 €,65.000 kms
330,TESLA MODEL 3,2020,28.500 €,67.000 kms
331,TESLA MODEL 3,2023,42.000 €,31.000 kms
332,TESLA MODEL 3,2019,20.000 €,200.000 kms
333,TESLA MODEL 3,2021,33.890 €,54.000 kms
334,TESLA MODEL 3,2023,33.000 €,79.000 kms
335,TESLA - MODEL S,2014,35.000 €,220.000 kms
336,TESLA - MODEL S 100D 4WD,2017,43.500 €,125.000 kms
337,TESLA - MODEL 3,2023,29.560 €,61.586 kms
338,TESLA MODEL 3,2021,27.850 €,54.000 kms
339,TESLA - MODEL 3,2019,27.990 €,53.000 kms
340,TESLA - MODEL Y,2022,44.800 €,87.200 kms
341,TESLA MODEL 3,2019,25.500 €,114.000 kms
342,TESLA - MODEL 3,2020,25.450 €,113.000 kms
343,TESLA - MODEL 3,2020,25.450 €,113.000 kms
344,TESLA - MODEL X 90D 4WD,2017,41.000 €,35.000 kms
345,TESLA - MODEL S GRAN AUTONOMIA 4WD,2019,42.890 €,89.500 kms
346,TESLA - MODEL Y,2024,50.900 €,5.000 kms
347,TESLA - MODEL 3,2019,29.900 €,61.046 kms
348,TESLA - MODEL Y,2022,41.900 €,38.000 kms
349,TESLA - MODEL 3,2021,29.890 €,68.000 kms
350,TESLA - MODEL 3,2022,31.900 €,65.672 kms
351,TESLA - MODEL Y,2021,32.650 €,96.000 kms
352,TESLA MODEL S,2018,28.099 €,178.000 kms
353,TESLA - MODEL X GRAN AUTONOMIA 4WD,2020,41.990 €,180.000 kms
354,TESLA - MODEL Y,2021,42.000 €,71.000 kms
355,TESLA - MODEL 3,2021,36.900 €,53.000 kms
356,TESLA - MODEL Y,2022,36.200 €,29.000 kms
357,TESLA - MODEL 3,2020,32.890 €,65.090 kms
358,TESLA - MODEL X 100D 4WD,2017,37.500 €,130.000 kms
359,TESLA MODEL 3,2022,30.500 €,54.000 kms
360,TESLA - MODEL 3,2022,38.900 €,19.000 kms
361,TESLA MODEL S,2023,74.990 €,29.000 kms
362,TESLA MODEL 3,2023,29.560 €,61.586 kms
363,TESLA MODEL 3,2019,20.990 €,189.900 kms
364,TESLA - MODEL 3,2023,35.995 €,10.000 kms
365,TESLA - MODEL Y,2023,39.990 €,85.000 kms
366,TESLA - MODEL 3,2023,34.900 €,26.586 kms
367,TESLA - MODEL 3,2021,35.900 €,55.000 kms
368,TESLA - MODEL 3,2019,32.490 €,23.832 kms
369,TESLA - MODEL 3,2021,24.500 €,210.000 kms
370,TESLA MODEL 3,2024,36.500 €,8.150 kms
371,TESLA - MODEL 3,2021,31.990 €,123.603 kms
372,TESLA - MODEL 3,2019,24.500 €,98.000 kms
373,TESLA MODEL 3,2024,34.000 €,8.000 kms
374,TESLA - MODEL X,2020,45.500 €,100.000 kms
375,TESLA - MODEL X 90D 4WD,2017,38.500 €,130.000 kms
376,TESLA - MODEL 3,2020,27.490 €,27.277 kms
377,TESLA - MODEL Y,2024,47.990 €,7.000 kms
378,TESLA - MODEL Y,2022,38.900 €,47.000 kms
