car_type,price,Ubicación,Tipo de vehículo,year,km,Link
TESLA Model Y Gran Autonomia Traccion Trasera RWD,47.990 €,Barcelona,Eléctrico,2024,7000 km,/tesla-model-y-gran-autonomia-traccion-trasera-rwd-5p-electrico-/-hibrido-2021-en-barcelona-59232513-covo.aspx
TESLA Model 3 Performance AWD,32.490 €,Granada,Eléctrico,2019,23.832 km,/tesla-model-3-performance-awd-4p-electrico-/-hibrido-2019-en-granada-59213111-covo.aspx
TESLA Model 3 Estandar Plus RWD,27.850 €,Madrid,Eléctrico,2021,54.000 km,/tesla-model-3-estandar-plus-rwd-4p-electrico-hibrido-2021-en-madrid-59323647-covo.aspx
TESLA Model S Ludicrous Performance 4WD,55.900 €,Barcelona,Eléctrico,2020,76.800 km,/tesla-model-s-ludicrous-performance-4wd-5p-electrico-/-hibrido-2020-en-barcelona-59186143-covo.aspx
TESLA Model X 100D 4WD,42.999 €,Madrid,Eléctrico,2019,110.000 km,/tesla-model-x-100d-4wd-5p-electrico-/-hibrido-2018-en-madrid-59200594-covo.aspx
TESLA Model S Ludicrous Performance 4WD,50.950 €,Valencia,Eléctrico,2020,59.999 km,/tesla-model-s-ludicrous-performance-4wd-5p-electrico-/-hibrido-2020-en-valencia-59262553-covo.aspx
TESLA Model 3 Estandar Plus RWD,20.900 €,Murcia,Eléctrico,2019,106.309 km,/tesla-model-3-estandar-plus-rwd-4p-electrico-hibrido-2019-en-murcia-59488661-covo.aspx
TESLA Model 3 Gran Autonomia AWD,27.990 €,Madrid,Eléctrico,2019,53.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-/-hibrido-2019-en-madrid-59318079-covo.aspx
TESLA Model 3 Gran Autonomia 4WD,28.475 €,Barcelona,Eléctrico,2021,72.000 km,/tesla-model-3-gran-autonomia-4wd-4p-electrico-/-hibrido-2021-en-barcelona-59138026-covo.aspx
TESLA Model 3 Estandar Plus RWD,27.990 €,Cádiz,Eléctrico,2020,45.063 km,/tesla-model-3-estandar-plus-rwd-4p-electrico-/-hibrido-2019-en-cadiz-59127651-covo.aspx
TESLA Model 3 Performance AWD,29.990 €,Madrid,Eléctrico,2019,165.000 km,/tesla-model-3-performance-awd-4p-electrico-/-hibrido-2019-en-madrid-59079492-covo.aspx
