,year,km,range,max_vel,zero_hundred,high_range,performance,four_wheel_drive,rear_wheel_drive,sell_type_Nuevo,sell_type_Ocasion,car_type_Model 3,car_type_Model S,car_type_Model X,car_type_Model Y,color_BLACK,color_BLUE,color_CHERRY,color_GREY,color_RED,color_SILVER,color_WHITE,country_france,country_italy,country_portugal,country_spain,predicted_price,real_price
6,2024,6198.0,634.0,250.0,3.2,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,94162.02,88890.0
717,2024,0.0,514.0,250.0,3.7,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,56763.867,56565.0
1093,2025,0.0,629.0,201.0,4.4,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,52044.5,52525.0
400,2024,15.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,51722.418,53880.0
1799,2019,55.0,560.0,233.0,4.6,True,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,31070.623,30100.0
1364,2025,0.0,702.0,201.0,5.2,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,47802.24,48340.0
1693,2025,3.0,514.0,250.0,3.7,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,52140.406,53965.0
1119,2025,0.0,640.0,201.0,5.2,True,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,48446.58,48975.0
1701,2025,0.0,533.0,217.0,5.0,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,51639.707,48975.0
517,2018,127.0,490.0,225.0,4.4,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,29297.775,28600.0
456,2024,0.0,430.0,217.0,6.9,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,44967.22,44390.0
331,2024,0.0,528.0,262.0,3.1,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,58004.39,58680.0
